Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Fagotin tradition,en:dairies,d,en:4-ultra-processed-food-and-drink-products,47,1.4,28,19,20,0.5,332
Ricotta bio 8% Mat. Gr.,en:dairies,c,en:4-ultra-processed-food-and-drink-products,60,0.4,8,6,8,3,N/A
Fromage Le Carre Au Lait Pasterise,en:dairies,d,en:3-processed-foods,44,1.6,27,19,18,0.5,319
Gouda tranchettes,en:dairies,d,en:3-processed-foods,38,1.7,28,19,24,0.5,350
Mozzarella x 1,en:dairies,c,en:3-processed-foods,65,0.6,19,13,18,1,247
Edam tranches 200g,en:dairies,d,unknown,35,2.1,24,16,25,0.5,316
Cottage Cheese With Pineapple,en:dairies,c,unknown,35,0.7,5.6,3.9,9.5,5.1,109
Le Sainte-Maure - Fromage de chèvre,en:dairies,d,en:3-processed-foods,22,1.3775,19,13,19,0.8,256
Mozarella cossettes cora,en:dairies,d,en:3-processed-foods,40,1.1,22,15,26,0.6,312
La Raclette en tranches,en:dairies,d,en:3-processed-foods,45,1.7,26,18,23,0,328
Mimolette,fr:fromages-du-nord-pas-de-calais,d,unknown,31,2.7,23.1,16,26.2,0,313
Camembert,en:dairies,d,en:3-processed-foods,58,1.5,22,17,20,0.5,280
Emmental râpé francais (29% MG),en:dairies,d,en:3-processed-foods,42,0.7,29,19,27,0.5,369
"Cancoillotte de Franche Comte a l'ail, le pot de",en:dairies,c,en:3-processed-foods,36,1.8,8,5.6,14.2,0.5,136
Grated Chreese,en:dairies,e,en:3-processed-foods,35,3.935,31.7,20.2,39.2,2,450
PRESIDENT CAMEMBERT 250g,en:dairies,d,en:3-processed-foods,48,1.4,21,15,20,0,269
L'Emmental Français,en:dairies,d,unknown,37,0.7,29,19.5,27,2,377
Billes de Chevrot frais Eclats d'abricot,en:dairies,c,unknown,14,0.1,19,14,12,7.3,250
